City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Saint George,US,71.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
9,Cap Malheureux,MU,73.0,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
28,Vihari,PK,73.0,clear sky,30.0333,72.35,Al Shafi
36,Cidreira,BR,71.0,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
41,Santo Antonio De Jesus,BR,73.0,few clouds,-12.9689,-39.2614,5C Hotel - Feito para Você
44,Saint Anthony,US,67.0,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
48,Gat,IL,72.0,clear sky,31.61,34.7642,OlusHome
52,Ponta Do Sol,PT,73.0,overcast clouds,32.6667,-17.1,Hotel do Campo
53,Greece,US,67.0,broken clouds,43.2098,-77.6931,"Homewood Suites by Hilton Rochester/Greece, NY"
54,Jalu,LY,66.0,clear sky,29.0331,21.5482,صاحبة الفخامة
55,Nalhati,IN,71.0,clear sky,24.3,87.8167,GAMING EVO
57,Huarmey,PE,67.0,scattered clouds,-10.0681,-78.1522,Hotel Miramar
64,Encruzilhada Do Sul,BR,70.0,light rain,-30.5439,-52.5219,Conceição Palace Hotel
65,Lincoln,US,66.0,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
86,Camacha,PT,67.0,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
93,Choma,ZM,73.0,scattered clouds,-16.8065,26.9531,Kamuboola Lodge
107,Monte Patria,CL,73.0,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
113,Saint-Philippe,RE,71.0,light rain,-21.3585,55.7679,Le four à pain
118,Castro,BR,69.0,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
128,Bambous Virieux,MU,74.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
129,Wamba,NG,74.0,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
130,Mahebourg,MU,74.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
134,Souillac,MU,74.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
138,Namibe,AO,71.0,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
148,Los Llanos De Aridane,ES,70.0,broken clouds,28.6585,-17.9182,Valle Aridane
152,Grand Gaube,MU,74.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
158,Fochville,ZA,67.0,light rain,-26.4886,27.4939,Eden Vreugd Guesthouse
160,Marsa Matruh,EG,68.0,clear sky,31.3525,27.2453,Beau Site
164,Catamarca,AR,74.0,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
179,Hualmay,PE,66.0,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
181,Quatre Cocos,MU,74.0,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
182,Tahta,EG,71.0,clear sky,26.7693,31.5021,فندق الزيات
185,Betare Oya,CM,70.0,broken clouds,5.6,14.0833,Auberge Tembina Betaré Oya
186,Chiplun,IN,68.0,clear sky,17.5333,73.5167,Hotel Reemz
195,Mount Pleasant,US,65.0,broken clouds,32.7941,-79.8626,Best Western Patriots Point
198,Pisco,PE,67.0,haze,-13.7,-76.2167,Hotel San Isidro Oficial
206,Carlos Antonio Lopez,PY,75.0,broken clouds,-26.4,-54.7667,Milenium
207,Teguise,ES,72.0,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
215,Iranshahr,IR,72.0,clear sky,27.2025,60.6848,نیک سرشت
222,Biharamulo,TZ,66.0,overcast clouds,-2.6319,31.3089,Annex Lodge
230,Presidencia Roque Saenz Pena,AR,73.0,overcast clouds,-26.7852,-60.4388,Hotel Gualok
234,Port Shepstone,ZA,66.0,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
240,Camana,PE,66.0,clear sky,-16.6228,-72.7111,Hostal Morales
250,Misratah,LY,72.0,clear sky,32.3754,15.0925,Almasa Hotel
256,Richards Bay,ZA,72.0,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
265,Aguimes,ES,71.0,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
266,Asfi,MA,74.0,clear sky,32.2994,-9.2372,Hôtel Abda
268,Cangucu,BR,71.0,heavy intensity rain,-31.395,-52.6756,Tchê Parque
271,Meulaboh,ID,75.0,heavy intensity rain,4.1363,96.1285,Kost Pria
