City_ID,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Wind Speed
0,Cap Malheureux,MU,2022-10-29 16:33:52,-19.9842,57.6142,70,5,1.34
1,Cabedelo,BR,2022-10-29 16:33:53,-6.9811,-34.8339,64,58,7.8
2,Kiruna,SE,2022-10-29 16:33:54,67.8557,20.2251,80,100,9.77
3,Cape Town,ZA,2022-10-29 16:33:18,-33.9258,18.4232,69,20,9.26
4,Jamestown,US,2022-10-29 16:30:32,42.097,-79.2353,59,0,3.6
5,Puri,IN,2022-10-29 16:33:54,19.8,85.85,63,4,1.4
6,Port Elizabeth,ZA,2022-10-29 16:33:55,-33.918,25.5701,73,0,4.12
7,Ushuaia,AR,2022-10-29 16:30:21,-54.8,-68.3,93,100,9.26
8,Victoria,HK,2022-10-29 16:29:01,22.2855,114.1577,65,79,5.36
9,Punta Arenas,CL,2022-10-29 16:33:56,-53.15,-70.9167,75,75,16.46
10,Belyy Yar,RU,2022-10-29 16:33:56,53.6039,91.3903,76,0,0.0
11,Cuamba,MZ,2022-10-29 16:33:56,-14.8031,36.5372,49,79,2.76
12,Hithadhoo,MV,2022-10-29 16:33:57,-0.6,73.0833,90,100,7.45
13,Maumee,US,2022-10-29 16:33:57,41.5628,-83.6538,66,0,0.45
14,Dingle,PH,2022-10-29 16:33:57,10.9995,122.6711,90,100,7.99
15,Saint-Philippe,RE,2022-10-29 16:33:58,-21.3585,55.7679,80,42,4.07
16,Casablanca,MA,2022-10-29 16:32:11,33.5928,-7.6192,26,100,3.09
17,Albany,US,2022-10-29 16:24:51,42.6001,-73.9662,55,0,0.62
18,Raudeberg,NO,2022-10-29 16:33:59,61.9875,5.1352,1,97,2.34
19,Joshimath,IN,2022-10-29 16:34:00,30.5667,79.5667,38,2,3.13
20,Arraial Do Cabo,BR,2022-10-29 16:33:43,-22.9661,-42.0278,70,0,6.17
21,Mar Del Plata,AR,2022-10-29 16:34:01,-38.0023,-57.5575,65,75,6.17
22,Mercedes,AR,2022-10-29 16:34:01,-34.6515,-59.4307,25,27,4.55
23,Busselton,AU,2022-10-29 16:30:33,-33.65,115.3333,83,97,8.81
24,Salym,RU,2022-10-29 16:34:02,60.0625,71.4789,80,95,3.07
25,Kansanshi,ZM,2022-10-29 16:34:02,-12.0951,26.4273,39,43,1.11
26,Kirkliston,GB,2022-10-29 16:34:03,55.9536,-3.4029,87,100,4.12
27,Balkhash,KZ,2022-10-29 16:34:04,46.844,74.9804,59,100,5.44
28,Bonfim,BR,2022-10-29 16:34:04,3.0833,-59.95,56,100,1.19
29,Mahon,ES,2022-10-29 16:34:04,39.8885,4.2658,83,20,2.57
30,Dikson,RU,2022-10-29 16:34:05,73.5069,80.5464,84,100,1.34
31,Touros,BR,2022-10-29 16:34:06,-5.1989,-35.4608,57,49,8.47
32,San Francisco,US,2022-10-29 16:31:20,37.7749,-122.4194,84,40,1.79
33,Hermanus,ZA,2022-10-29 16:34:07,-34.4187,19.2345,81,100,3.47
34,Dhule,IN,2022-10-29 16:34:07,20.9,74.7833,43,0,2.59
35,Nizhniy Odes,RU,2022-10-29 16:34:08,63.6445,54.856,98,100,4.26
36,Chuy,UY,2022-10-29 16:34:08,-33.6971,-53.4616,37,4,4.88
37,Warri,NG,2022-10-29 16:34:09,5.5167,5.75,88,94,2.37
38,Bambous Virieux,MU,2022-10-29 16:30:35,-20.3428,57.7575,78,40,1.54
39,Ostrovnoy,RU,2022-10-29 16:34:10,68.0531,39.5131,96,100,9.92
40,Bam,IR,2022-10-29 16:34:11,29.106,58.357,22,0,4.96
41,San Felipe,VE,2022-10-29 16:34:11,10.3399,-68.7425,38,69,1.56
42,Cayenne,GF,2022-10-29 16:34:12,4.9333,-52.3333,94,75,6.17
43,Butembo,CD,2022-10-29 16:34:12,0.15,29.2833,97,90,1.08
44,Carnarvon,AU,2022-10-29 16:34:13,-24.8667,113.6333,67,74,10.72
45,Bermeo,ES,2022-10-29 16:35:28,43.4209,-2.7215,87,100,5.8
46,Am Timan,TD,2022-10-29 16:35:29,11.0297,20.2827,26,81,1.82
47,Qaanaaq,GL,2022-10-29 16:35:29,77.484,-69.3632,68,0,3.84
48,Hobyo,SO,2022-10-29 16:35:29,5.3505,48.5268,74,9,5.04
49,Ponta Do Sol,PT,2022-10-29 16:35:30,32.6667,-17.1,86,100,0.53
50,Nantucket,US,2022-10-29 16:35:30,41.2835,-70.0995,75,20,7.72
51,Iberia,US,2022-10-29 16:31:29,29.9502,-91.7507,88,100,5.14
52,Troy,US,2022-10-29 16:35:31,42.6056,-83.1499,67,1,2.28
53,Torbay,CA,2022-10-29 16:33:13,47.6666,-52.7314,59,20,8.23
54,Maarianhamina,AX,2022-10-29 16:35:31,60.0973,19.9348,62,75,8.23
55,Georgetown,MY,2022-10-29 16:32:22,5.4112,100.3354,94,40,0.0
56,Nizwa,OM,2022-10-29 16:35:32,22.9333,57.5333,38,0,3.56
57,Longyearbyen,SJ,2022-10-29 16:35:32,78.2186,15.6401,68,75,6.17
58,Porto Santo,PT,2022-10-29 16:35:33,33.072,-16.3415,73,40,2.06
59,Rio Grande,BR,2022-10-29 16:35:33,-32.035,-52.0986,48,4,2.57
60,Caravelas,BR,2022-10-29 16:35:34,-17.7125,-39.2481,59,32,5.03
61,Letlhakane,BW,2022-10-29 16:35:34,-21.4167,25.5833,36,27,7.2
62,Faya,SA,2022-10-29 16:35:35,18.3851,42.4509,76,60,1.87
63,Urrao,CO,2022-10-29 16:35:35,6.3152,-76.1342,80,100,1.12
64,Kaya,BF,2022-10-29 16:35:35,13.0917,-1.0844,14,0,2.8
